trial_number;samples;date;latent_dim;learning_rate;base_filters;kernel_size;num_layers;stride_size;pooling_type;activation;norm_type;dropout_rate;batch_size;loss_func;k_folds;Pruned;Avg_Train_MSE;Std_Train_MSE;Avg_Train_RMSE;Std_Train_RMSE;Avg_Train_MAE;Std_Train_MAE;Avg_Train_R2;Std_Train_R2;Avg_Val_MSE;Std_Val_MSE;Avg_Val_RMSE;Std_Val_RMSE;Avg_Val_MAE;Std_Val_MAE;Avg_Val_R2;Std_Val_R2
147;10,000;25-02-2026 08:57;512;0.001;32;7;3;3;average;relu;batch;0;32;mse;5;True;0.108;0.015;0.328;0.023;0.204;0.012;0.892;0.015;0.182;0.011;0.426;0.013;0.252;0.008;0.818;0.011
146;10,000;25-02-2026 08:55;256;0.0005;32;7;3;3;average;relu;batch;0;32;mse;5;True;0.125;0.007;0.353;0.01;0.217;0.005;0.875;0.007;0.184;0.001;0.429;0.001;0.253;0.002;0.816;0.001
54_f16;10,000;28-02-2026 10:30;512;0.0005;16;9;3;3;max;leaky_relu;batch;0;128;huber;5;False;;;;;;;;;0.185;0.003;0.43;0.003;0.249;0.002;0.815;0.003
90;10,000;25-02-2026 04:12;512;0.0005;128;9;3;3;max;leaky_relu;batch;0;128;huber;5;True;0.116;0.012;0.34;0.018;0.201;0.009;0.884;0.012;0.185;0.005;0.43;0.006;0.255;0.003;0.815;0.005
55;10,000;25-02-2026 01:50;1024;0.0005;32;5;3;3;max;leaky_relu;batch;0;128;huber;5;True;0.122;0.007;0.349;0.01;0.203;0.005;0.878;0.007;0.185;0.003;0.431;0.004;0.252;0.001;0.814;0.003
56;10,000;25-02-2026 01:52;512;0.0005;32;9;3;3;stride;leaky_relu;batch;0;128;huber;5;True;0.129;0.003;0.359;0.005;0.206;0.002;0.871;0.003;0.188;0.003;0.434;0.003;0.246;0.002;0.812;0.003
44;10,000;25-02-2026 00:57;256;0.0005;32;9;3;3;max;leaky_relu;batch;0;128;huber;5;True;0.151;0.008;0.388;0.01;0.224;0.005;0.849;0.008;0.189;0.006;0.435;0.007;0.253;0.003;0.811;0.006
77;10,000;25-02-2026 03:16;1024;0.0005;32;9;4;3;max;relu;batch;0;128;mse;5;True;0.141;0.012;0.375;0.017;0.227;0.009;0.859;0.012;0.189;0.008;0.435;0.009;0.259;0.006;0.811;0.008
76;10,000;25-02-2026 03:08;512;0.0005;128;11;3;3;max;leaky_relu;batch;0;128;huber;5;True;0.119;0.018;0.344;0.025;0.201;0.013;0.881;0.018;0.19;0.007;0.436;0.008;0.258;0.005;0.809;0.007
143;10,000;25-02-2026 08:31;512;0.0005;256;7;3;3;average;relu;batch;0;32;mse;5;True;0.074;0.009;0.272;0.017;0.17;0.011;0.926;0.009;0.191;0.005;0.437;0.006;0.259;0.004;0.809;0.005
45;10,000;25-02-2026 00:58;512;0.0005;128;11;3;3;max;leaky_relu;batch;0;128;huber;5;True;0.116;0.009;0.341;0.013;0.201;0.007;0.884;0.009;0.192;0.005;0.438;0.006;0.259;0.003;0.808;0.005
26;10,000;24-02-2026 23:37;512;0.001;32;9;3;3;max;relu;batch;0;128;huber;5;True;0.133;0.006;0.364;0.008;0.212;0.004;0.867;0.006;0.194;0.004;0.441;0.005;0.257;0.004;0.806;0.004
58;10,000;25-02-2026 01:56;1024;0.0005;128;9;3;3;max;leaky_relu;batch;0;16;huber;5;True;0.103;0.013;0.321;0.021;0.191;0.01;0.897;0.013;0.196;0.007;0.442;0.008;0.261;0.004;0.804;0.007
70;10,000;25-02-2026 02:52;512;0.0005;32;13;3;3;max;leaky_relu;batch;0.2;128;huber;5;True;0.15;0.004;0.387;0.005;0.219;0.002;0.85;0.004;0.196;0.001;0.443;0.001;0.254;0.001;0.803;0.001
148;10,000;25-02-2026 09:01;512;0.0005;64;7;4;3;average;relu;batch;0;32;mse;5;True;0.127;0.011;0.355;0.015;0.216;0.009;0.873;0.011;0.196;0.005;0.443;0.005;0.261;0.003;0.804;0.005
127;10,000;25-02-2026 07:15;512;0.0005;128;9;3;3;average;leaky_relu;batch;0.1;32;huber;5;True;0.108;0.015;0.327;0.022;0.191;0.011;0.892;0.014;0.197;0.005;0.444;0.006;0.256;0.003;0.803;0.005
120;10,000;25-02-2026 06:41;512;0.001;64;13;4;3;average;leaky_relu;batch;0;32;huber;5;True;0.145;0.008;0.38;0.011;0.222;0.005;0.855;0.008;0.197;0.006;0.444;0.007;0.255;0.003;0.802;0.005
